,artist_name,song_name,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,"""Weird Al"" Yankovic",Amish Paradise,"['antiviral pop', 'comedy rock', 'comic']",0.738,0.532,8,-7.773,1,0.117,0.0763,0,0.405,0.432,82.117,4
1,"""Weird Al"" Yankovic",Headline News,"['antiviral pop', 'comedy rock', 'comic']",0.684,0.524,3,-9.383,1,0.023,0.334,0.00178,0.075,0.552,94.804,4
2,"""Weird Al"" Yankovic",Eat It,"['antiviral pop', 'comedy rock', 'comic']",0.767,0.811,7,-8.548,1,0.0766,0.0866,0,0.0684,0.858,147.423,4
3,"""Weird Al"" Yankovic",Dare to Be Stupid,"['antiviral pop', 'comedy rock', 'comic']",0.705,0.954,5,-10.708,0,0.0499,0.0418,0.000318,0.311,0.557,108.091,4
4,10cc,Dreadlock Holiday,"['album rock', 'art rock', 'classic rock', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']",0.844,0.385,7,-13.842,0,0.0624,0.347,0.00034,0.147,0.932,105.038,4
5,10cc,I'm Not In Love,"['album rock', 'art rock', 'classic rock', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']",0.388,0.669,4,-10.949,1,0.0666,0.696,0.00281,0.293,0.23,133.507,4
6,10cc,The Things We Do for Love,"['album rock', 'art rock', 'classic rock', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']",0.501,0.514,1,-10.227,1,0.0716,0.329,0,0.32,0.711,105.682,4
7,2 Brothers on the 4th Floor,Come Take My Hand,"['bubblegum dance', 'eurodance', 'europop', 'happy hardcore', 'hip house']",0.521,0.879,0,-4.829,1,0.0417,0.00188,0.765,0.207,0.105,167.99,4
8,2 Brothers on the 4th Floor,Let Me Be Free,"['bubblegum dance', 'eurodance', 'europop', 'happy hardcore', 'hip house']",0.644,0.934,9,-5.209,0,0.0375,0.00327,0.0947,0.0958,0.652,135.027,4
9,2 Unlimited,No Limit (extended),"['bubblegum dance', 'eurodance', 'europop', 'hip house']",0.628,0.999,3,-6.572,1,0.0547,0.00368,0.00451,0.0571,0.761,141.04,4
10,2 Unlimited,Workaholic,"['bubblegum dance', 'eurodance', 'europop', 'hip house']",0.544,0.98,7,-7.672,1,0.0615,0.00147,0.16,0.323,0.607,128.889,4
11,2 Unlimited,Maximum Overdrive,"['bubblegum dance', 'eurodance', 'europop', 'hip house']",0.543,0.741,8,-13.109,1,0.0426,0.00184,0.458,0.259,0.529,154.022,4
12,2 Unlimited,No Limit,"['bubblegum dance', 'eurodance', 'europop', 'hip house']",0.652,0.999,3,-6.659,1,0.0522,0.0109,0.000646,0.0533,0.637,141.056,4
13,2 Unlimited,Twilight Zone,"['bubblegum dance', 'eurodance', 'europop', 'hip house']",0.7,0.99,3,-7.559,0,0.0499,0.0873,0.00211,0.151,0.77,127.884,4
14,2 Unlimited,Let the Beat Control Your Body,"['bubblegum dance', 'eurodance', 'europop', 'hip house']",0.655,0.999,1,-10.28,1,0.0579,0.139,0.855,0.0783,0.581,141.989,4
15,311,All Mixed Up,"['alternative metal', 'alternative rock', 'funk metal', 'nu metal', 'pop rock', 'post-grunge', 'reggae fusion', 'rock']",0.765,0.747,10,-7.796,0,0.05,0.00395,0,0.355,0.675,92.284,4
16,4 Non Blondes,What's Up,"['new wave pop', 'pop rock']",0.559,0.683,2,-6.521,1,0.0273,0.179,0,0.125,0.466,134.197,4
17,883,Chiuditi nel cesso,"['classic italian pop', 'italian arena pop', 'italian hip hop', 'italian pop']",0.72,0.906,0,-6.25,1,0.029,0.022,0,0.112,0.818,124.015,4
18,883,Grazie mille,"['classic italian pop', 'italian arena pop', 'italian hip hop', 'italian pop']",0.541,0.878,3,-7.083,1,0.0393,0.0264,0,0.406,0.545,106.087,4
19,883,La regola dell'amico,"['classic italian pop', 'italian arena pop', 'italian hip hop', 'italian pop']",0.619,0.951,0,-5.237,1,0.0433,0.0335,0,0.298,0.818,129.364,4
20,883,Con un deca,"['classic italian pop', 'italian arena pop', 'italian hip hop', 'italian pop']",0.661,0.898,2,-7.451,1,0.0349,0.00105,0,0.215,0.421,124.014,4
21,883,Andra tutto bene ('58),"['classic italian pop', 'italian arena pop', 'italian hip hop', 'italian pop']",0.77,0.846,5,-6.717,1,0.0362,0.00616,0.00195,0.364,0.855,117.965,4
22,883,Innamorare tanto,"['classic italian pop', 'italian arena pop', 'italian hip hop', 'italian pop']",0.642,0.87,7,-5.473,1,0.0278,0.0217,0,0.179,0.904,127.931,4
23,883,Gli anni ('96),"['classic italian pop', 'italian arena pop', 'italian hip hop', 'italian pop']",0.467,0.666,7,-6.144,1,0.0286,0.00531,1.67e-06,0.0998,0.456,144.059,4
24,883,Dimmi perche (remix),"['classic italian pop', 'italian arena pop', 'italian hip hop', 'italian pop']",0.722,0.94,5,-5.317,1,0.0381,0.108,0.00051,0.109,0.767,119.999,4
25,883,Hanno ucciso l'uomo ragno,"['classic italian pop', 'italian arena pop', 'italian hip hop', 'italian pop']",0.591,0.952,2,-4.746,1,0.075,0.0429,0,0.593,0.825,93.932,4
26,883,Tutto cio che ho,"['classic italian pop', 'italian arena pop', 'italian hip hop', 'italian pop']",0.565,0.815,7,-7.239,1,0.0561,0.223,0,0.357,0.615,169.962,4
27,883,Nella notte (Molella remix),"['classic italian pop', 'italian arena pop', 'italian hip hop', 'italian pop']",0.69,0.894,0,-7.323,1,0.0299,0.00221,0.0188,0.322,0.726,129.83,4
28,883,Nella notte,"['classic italian pop', 'italian arena pop', 'italian hip hop', 'italian pop']",0.69,0.894,0,-7.323,1,0.0299,0.00221,0.0188,0.322,0.726,129.83,4
29,883,La dura legge del gol!,"['classic italian pop', 'italian arena pop', 'italian hip hop', 'italian pop']",0.722,0.94,5,-5.317,1,0.0381,0.108,0.00051,0.109,0.767,119.999,4
30,883,Rotta x casa di Dio,"['classic italian pop', 'italian arena pop', 'italian hip hop', 'italian pop']",0.644,0.872,5,-5.538,1,0.0393,0.102,0,0.0877,0.673,121.285,4
31,883,Se tornerai,"['classic italian pop', 'italian arena pop', 'italian hip hop', 'italian pop']",0.582,0.683,2,-5.951,1,0.0264,0.0887,0,0.0617,0.679,86.007,4
32,883,Io ci saro',"['classic italian pop', 'italian arena pop', 'italian hip hop', 'italian pop']",0.472,0.664,0,-6.321,1,0.0268,0.144,0,0.179,0.6,160.002,4
33,883,Le luci di Natale,"['classic italian pop', 'italian arena pop', 'italian hip hop', 'italian pop']",0.59,0.749,2,-8.107,1,0.0296,0.0784,0,0.115,0.671,140.076,4
