,Unnamed: 0,artist_name,song_name,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,is_pop,is_rock,is_jazz,is_soul,is_classical,is_electronic,is_dance,is_metal,is_disco,is_funk
0,0,"""Weird Al"" Yankovic",Amish Paradise,"['antiviral pop', 'comedy rock', 'comic']",0.738,0.532,8,-7.773,1,0.11699999999999999,0.0763,0.0,0.405,0.43200000000000005,82.117,4,1,1,0,0,0,0,0,0,0,0
1,1,"""Weird Al"" Yankovic",Headline News,"['antiviral pop', 'comedy rock', 'comic']",0.684,0.524,3,-9.383,1,0.023,0.33399999999999996,0.0017800000000000001,0.075,0.552,94.804,4,1,1,0,0,0,0,0,0,0,0
2,2,"""Weird Al"" Yankovic",Eat It,"['antiviral pop', 'comedy rock', 'comic']",0.767,0.8109999999999999,7,-8.548,1,0.0766,0.0866,0.0,0.0684,0.858,147.423,4,1,1,0,0,0,0,0,0,0,0
3,3,"""Weird Al"" Yankovic",Dare to Be Stupid,"['antiviral pop', 'comedy rock', 'comic']",0.705,0.9540000000000001,5,-10.708,0,0.0499,0.0418,0.00031800000000000003,0.311,0.557,108.09100000000001,4,1,1,0,0,0,0,0,0,0,0
4,4,10cc,Dreadlock Holiday,"['album rock', 'art rock', 'classic rock', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']",0.8440000000000001,0.385,7,-13.842,0,0.0624,0.34700000000000003,0.00033999999999999997,0.147,0.932,105.038,4,0,1,0,0,0,0,1,0,0,0
5,5,10cc,I'm Not In Love,"['album rock', 'art rock', 'classic rock', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']",0.38799999999999996,0.669,4,-10.949000000000002,1,0.0666,0.696,0.00281,0.293,0.23,133.507,4,0,1,0,0,0,0,1,0,0,0
6,6,10cc,The Things We Do for Love,"['album rock', 'art rock', 'classic rock', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']",0.501,0.514,1,-10.227,1,0.0716,0.32899999999999996,0.0,0.32,0.711,105.682,4,0,1,0,0,0,0,1,0,0,0
7,7,2 Brothers on the 4th Floor,Come Take My Hand,"['bubblegum dance', 'eurodance', 'europop', 'happy hardcore', 'hip house']",0.521,0.879,0,-4.829,1,0.0417,0.0018800000000000002,0.765,0.207,0.105,167.99,4,1,0,0,0,0,0,1,0,0,0
8,8,2 Brothers on the 4th Floor,Let Me Be Free,"['bubblegum dance', 'eurodance', 'europop', 'happy hardcore', 'hip house']",0.644,0.934,9,-5.209,0,0.0375,0.0032700000000000003,0.0947,0.0958,0.652,135.02700000000002,4,1,0,0,0,0,0,1,0,0,0
9,9,2 Unlimited,No Limit (extended),"['bubblegum dance', 'eurodance', 'europop', 'hip house']",0.628,0.9990000000000001,3,-6.572,1,0.0547,0.0036799999999999997,0.00451,0.0571,0.7609999999999999,141.04,4,1,0,0,0,0,0,1,0,0,0
10,10,2 Unlimited,Workaholic,"['bubblegum dance', 'eurodance', 'europop', 'hip house']",0.544,0.98,7,-7.672000000000001,1,0.0615,0.00147,0.16,0.32299999999999995,0.607,128.889,4,1,0,0,0,0,0,1,0,0,0
11,11,2 Unlimited,Maximum Overdrive,"['bubblegum dance', 'eurodance', 'europop', 'hip house']",0.5429999999999999,0.741,8,-13.109000000000002,1,0.0426,0.0018399999999999998,0.45799999999999996,0.259,0.529,154.02200000000002,4,1,0,0,0,0,0,1,0,0,0
12,12,2 Unlimited,No Limit,"['bubblegum dance', 'eurodance', 'europop', 'hip house']",0.652,0.9990000000000001,3,-6.659,1,0.0522,0.0109,0.000646,0.0533,0.637,141.056,4,1,0,0,0,0,0,1,0,0,0
13,13,2 Unlimited,Twilight Zone,"['bubblegum dance', 'eurodance', 'europop', 'hip house']",0.7,0.99,3,-7.559,0,0.0499,0.0873,0.0021100000000000003,0.151,0.77,127.884,4,1,0,0,0,0,0,1,0,0,0
14,14,2 Unlimited,Let the Beat Control Your Body,"['bubblegum dance', 'eurodance', 'europop', 'hip house']",0.655,0.9990000000000001,1,-10.28,1,0.0579,0.139,0.855,0.0783,0.581,141.989,4,1,0,0,0,0,0,1,0,0,0
15,15,311,All Mixed Up,"['alternative metal', 'alternative rock', 'funk metal', 'nu metal', 'pop rock', 'post-grunge', 'reggae fusion', 'rock']",0.765,0.747,10,-7.796,0,0.05,0.00395,0.0,0.355,0.675,92.28399999999999,4,1,1,0,0,0,0,0,1,0,1
16,16,4 Non Blondes,What's Up,"['new wave pop', 'pop rock']",0.5589999999999999,0.6829999999999999,2,-6.521,1,0.0273,0.179,0.0,0.125,0.466,134.197,4,1,1,0,0,0,0,0,0,0,0
17,17,883,Chiuditi nel cesso,"['classic italian pop', 'italian arena pop', 'italian hip hop', 'italian pop']",0.72,0.9059999999999999,0,-6.25,1,0.028999999999999998,0.022000000000000002,0.0,0.11199999999999999,0.818,124.015,4,1,0,0,0,0,0,0,0,0,0
18,18,883,Grazie mille,"['classic italian pop', 'italian arena pop', 'italian hip hop', 'italian pop']",0.541,0.878,3,-7.082999999999999,1,0.0393,0.0264,0.0,0.406,0.545,106.087,4,1,0,0,0,0,0,0,0,0,0
19,19,883,La regola dell'amico,"['classic italian pop', 'italian arena pop', 'italian hip hop', 'italian pop']",0.619,0.951,0,-5.237,1,0.0433,0.0335,0.0,0.298,0.818,129.364,4,1,0,0,0,0,0,0,0,0,0
20,20,883,Con un deca,"['classic italian pop', 'italian arena pop', 'italian hip hop', 'italian pop']",0.6609999999999999,0.898,2,-7.4510000000000005,1,0.0349,0.00105,0.0,0.215,0.42100000000000004,124.014,4,1,0,0,0,0,0,0,0,0,0
21,21,883,Andra tutto bene ('58),"['classic italian pop', 'italian arena pop', 'italian hip hop', 'italian pop']",0.77,0.846,5,-6.7170000000000005,1,0.0362,0.0061600000000000005,0.00195,0.364,0.855,117.965,4,1,0,0,0,0,0,0,0,0,0
22,22,883,Innamorare tanto,"['classic italian pop', 'italian arena pop', 'italian hip hop', 'italian pop']",0.642,0.87,7,-5.473,1,0.0278,0.0217,0.0,0.179,0.904,127.931,4,1,0,0,0,0,0,0,0,0,0
23,23,883,Gli anni ('96),"['classic italian pop', 'italian arena pop', 'italian hip hop', 'italian pop']",0.467,0.6659999999999999,7,-6.144,1,0.0286,0.0053100000000000005,1.67e-06,0.0998,0.456,144.059,4,1,0,0,0,0,0,0,0,0,0
24,24,883,Dimmi perche (remix),"['classic italian pop', 'italian arena pop', 'italian hip hop', 'italian pop']",0.722,0.94,5,-5.317,1,0.0381,0.10800000000000001,0.0005099999999999999,0.109,0.767,119.999,4,1,0,0,0,0,0,0,0,0,0
25,25,883,Hanno ucciso l'uomo ragno,"['classic italian pop', 'italian arena pop', 'italian hip hop', 'italian pop']",0.591,0.9520000000000001,2,-4.746,1,0.075,0.0429,0.0,0.593,0.825,93.932,4,1,0,0,0,0,0,0,0,0,0
26,26,883,Tutto cio che ho,"['classic italian pop', 'italian arena pop', 'italian hip hop', 'italian pop']",0.565,0.815,7,-7.239,1,0.0561,0.223,0.0,0.35700000000000004,0.615,169.96200000000002,4,1,0,0,0,0,0,0,0,0,0
27,27,883,Nella notte (Molella remix),"['classic italian pop', 'italian arena pop', 'italian hip hop', 'italian pop']",0.69,0.894,0,-7.3229999999999995,1,0.0299,0.00221,0.0188,0.322,0.726,129.83,4,1,0,0,0,0,0,0,0,0,0
28,28,883,Nella notte,"['classic italian pop', 'italian arena pop', 'italian hip hop', 'italian pop']",0.69,0.894,0,-7.3229999999999995,1,0.0299,0.00221,0.0188,0.322,0.726,129.83,4,1,0,0,0,0,0,0,0,0,0
29,29,883,La dura legge del gol!,"['classic italian pop', 'italian arena pop', 'italian hip hop', 'italian pop']",0.722,0.94,5,-5.317,1,0.0381,0.10800000000000001,0.0005099999999999999,0.109,0.767,119.999,4,1,0,0,0,0,0,0,0,0,0
30,30,883,Rotta x casa di Dio,"['classic italian pop', 'italian arena pop', 'italian hip hop', 'italian pop']",0.644,0.872,5,-5.537999999999999,1,0.0393,0.102,0.0,0.0877,0.6729999999999999,121.285,4,1,0,0,0,0,0,0,0,0,0
31,31,883,Se tornerai,"['classic italian pop', 'italian arena pop', 'italian hip hop', 'italian pop']",0.5820000000000001,0.6829999999999999,2,-5.9510000000000005,1,0.0264,0.0887,0.0,0.0617,0.679,86.007,4,1,0,0,0,0,0,0,0,0,0
